scenario,fillId,fillTimeUtc,fillDate,crashClusterId,clusterFillOrdinal,clusterFillCount,sameCrashContinuousMultiLevelFill,baselineTargetExposure,baselineTargetContracts,thresholdDrop,bonusExposure,limitPrice,intendedPrice,effectivePrice,contracts,contractsAfter,exposureAfter,dayClose,oneDayReturn,threeDayReturn,sevenDayReturn,markToMarketPnlBtc,btcPnlBtc,relativeBaselineIncrementalPnlBtc,relativeBaselinePriceAdvantageBtc,feeBtc,fundingPnlBtc,slippageBtc,baselineCounterfactualEffectivePrice,sameCrashClusterMultipleFills,clusterMarginalEndingBtc,clusterTopRank
"curve_mild","curve_mild:maker-fill:23","2024-12-20T11:39:45.708Z","2024-12-20","crash-2024-12-18","2","2","false","1.223815428539669","213","-0.05","0.05","92524.015","92524.015","92570.2770075","32","245","1.273886423784868","97762.83759575","-0.005545121212741533","-0.03070175795460428","-0.036760953259055484","0.00033258830976324374","0.00022673672413239031","0.001737058645584164","0.0017284165627703182","0.000006913666251081301","-0.00010585158563085342","0.000017284165627706","97442.39684999999","true","0.0025504732258918583","8"
"curve_mild","curve_mild:maker-fill:24","2025-01-07T15:39:30.457Z","2025-01-07","crash-2025-01-07","1","1","false","1.25","250","-0.05","0.05","97125.81499999999","97125.81499999999","97174.37790749998","31","281","1.299966407234","96940.88443108","-0.019478220590017914","-0.023096574842494055","-0.004266051489493328","-0.0008264745219114073","-0.0008271164729326458","0.0016030460225665937","0.0015950706692204873","0.000006380282676881928","-6.419510212384322e-7","0.00001595070669220046","102288.81885","false","-0.0004063039102950583","24"
"curve_mild","curve_mild:maker-fill:25","2025-01-13T14:13:05.186Z","2025-01-13","crash-2025-01-13","1","1","false","1","0","-0.05","0.05","89735.86","89735.86","89780.72793","43","43","1.0500278244158363","94503.63979334","0.021413882446701393","0.05794835506511298","0.08083811087695669","0.002403533864118142","0.0023943123175234884","0.0024066969045792356","0.002394723288138532","0.000009578893152554105","-0.000009221546594653377","0.00002394723288137585","94506.0294","false","0.0041390798871421275","4"
"curve_mild","curve_mild:maker-fill:26","2025-02-03T01:35:36.531Z","2025-02-03","crash-2025-02-03","1","2","false","1.25","232","-0.05","0.05","92733.48999999999","92733.48999999999","92779.85674499998","29","261","1.2999255862758492","101447.07401212","-0.03586856756149803","-0.04814100109320596","-0.0393628563925158","0.0012147437531510328","0.0012095947930918407","0.001570653427505469","0.0015628392313487215","0.000006251356925394874","-0.0000051489600591919514","0.00001562839231348196","97663.00709999999","true","0.00445808197729658","3"
"curve_mild","curve_mild:maker-fill:27","2025-02-04T22:07:12.168Z","2025-02-04","crash-2025-02-03","2","2","false","1.25","244","-0.05","0.05","96312.9","96312.9","96361.05644999999","30","274","1.2995272444476282","97808.312784","-0.01210590839313297","-0.012987026761776321","-0.020889988162889894","0.00005433481772815495","0.000040160444103800204","0.0015644286764147463","0.0015566454491689015","0.000006226581796675602","-0.000014174373624354744","0.0000155664544916882","101432.69099999999","true","0.00445808197729658","3"
"curve_mild","curve_mild:maker-fill:28","2025-02-24T23:38:21.144Z","2025-02-24","crash-2025-02-24","1","4","false","1","0","-0.05","0.05","91425.52999999998","91425.52999999998","91471.24276499997","43","43","1.0494789370479565","91531.99677074","-0.03234262482315198","-0.0753846167212181","-0.05872441833278441","0.00004346585927335729","0.00003876717717495789","0.002362217823530858","0.002350465496050601","0.000009401861984202378","-0.000004698682098399402","0.00002350465496049421","96285.51869999999","true","0.0035552557381486327","5"
"curve_mild","curve_mild:maker-fill:29","2025-02-25T10:38:09.897Z","2025-02-25","crash-2025-02-24","2","4","false","1","0","-0.05","0.05","86934.595","86934.595","86978.0622975","41","41","1.0496168817043534","88571.61173987","-0.05049949886952987","-0.04817253827683665","-0.014931030384024213","0.0008678437199670851","0.0008585069905143382","0.002368700733931174","0.0023569161531653516","0.000009427664612661407","-0.000009336729452746868","0.00002356916153165039","91555.85505","true","0.0035552557381486327","5"
"curve_mild","curve_mild:maker-fill:30","2025-02-26T18:34:15.175Z","2025-02-26","crash-2025-02-24","3","4","false","1","0","-0.05","0.05","84136.08499999999","84136.08499999999","84178.15304249998","40","40","1.0499758295488029","84098.78973294","0.006339003750266858","0.022888785544389778","0.07742514333877049","0.0004026270541869553","0.0003778856261399373","0.002387792945498819","0.002375913378605785","0.000009503653514423094","-0.000024741428047017982","0.000023759133786054596","88608.58215","true","0.0035552557381486327","5"
"curve_mild","curve_mild:maker-fill:31","2025-02-28T02:33:53.025Z","2025-02-28","crash-2025-02-24","4","4","false","1.25","201","-0.05","0.05","80410.27999999998","80410.27999999998","80450.48513999998","26","227","1.3003356337557712","84304.89238309","0.020388099243155766","0.02196718441955392","0.029123642002803596","0.002092473208312644","0.002087179076126514","0.0016239802627994494","0.0016159007590044274","0.000006463603036017692","-0.000005294132186129932","0.000016159007590043834","84684.72119999999","true","0.0035552557381486327","5"
"curve_mild","curve_mild:maker-fill:32","2025-03-03T14:38:07.376Z","2025-03-03","crash-2025-03-03","1","2","false","1","0","-0.05","0.05","89513.56","89513.56","89558.31678","43","43","1.0501812991026858","86156.83350154","0.01267819124597347","0.04370157821901266","-0.08818909224715399","-0.0018802791824192272","-0.0018900521677001447","0.002412673750119581","0.0024006703981289375","0.000009602681592515747","-0.000009772985280917547","0.000024006703981286534","94271.9124","true","0.0011485972207216921","12"
"curve_mild","curve_mild:maker-fill:33","2025-03-04T15:35:08.541Z","2025-03-04","crash-2025-03-03","2","2","false","1","0","-0.05","0.05","81834.70999999999","81834.70999999999","81875.62735499999","39","39","1.0498868364033618","87249.14631382","0.03852191581016795","-0.005604506709110835","-0.049857304877159336","0.00294042237631652","0.002942381027800672","0.002393569445889958","0.0023816611401890142","0.000009526644560756052","0.0000019586514841520117","0.000023816611401885517","86184.8709","true","0.0011485972207216921","12"
"curve_mild","curve_mild:maker-fill:34","2025-03-07T00:37:32.432Z","2025-03-07","crash-2025-03-07","1","2","false","1","0","-0.05","0.05","85391.795","85391.795","85434.4908975","41","41","1.0501101703580795","86760.15788794","-0.006451752028540425","-0.0945297648533906","-0.03202009345186052","0.0007435593358189671","0.0007383012830731881","0.002411496783508407","0.0023994992870730474","0.00000959799714829219","-0.000005258052745779086","0.00002399499287073249","89931.04305000001","true","-0.00038541713198769756","22"
"curve_mild","curve_mild:maker-fill:35","2025-03-09T21:35:22.448Z","2025-03-09","crash-2025-03-07","2","2","false","1","0","-0.05","0.05","81855.70499999999","81855.70499999999","81896.63285249998","39","39","1.0496907645699973","80705.04291789","-0.026594401987043992","0.03651373161709537","0.023034705033257774","-0.0006848967756356823","-0.0006889433202934447","0.0023929555242272306","0.002381050272862923","0.000009524201091451707","-0.000004046544657762421","0.000023810502728632002","86206.98194999999","true","-0.00038541713198769756","22"
"curve_mild","curve_mild:maker-fill:36","2025-08-14T18:19:50.918Z","2025-08-14","crash-2025-08-14","1","1","false","1.25","300","-0.05","0.05","117180.695","117180.695","117239.2853475","37","337","1.2997041701975451","118385.3376194","-0.007977753676695398","-0.007535222001713637","-0.04989475049139913","-0.0004985367550206116","-0.000555178123814157","0.0015858592062286422","0.0015779693594314866","0.000006311877437725952","-0.00005664136879354534","0.00001577969359431424","123409.77404999999","false","0.00017018338509489084","18"
"curve_mild","curve_mild:maker-fill:37","2025-10-10T20:27:36.130Z","2025-10-10","crash-2025-10-10","1","3","false","1.25","288","-0.05","0.05","115578.995","115578.995","115636.78449749999","35","323","1.299426896393994","112979.89410117","-0.019535582146444352","0.02035493226981333","-0.0576342871897112","-0.001314854916657619","-0.001325252733707591","0.0015209260683290864","0.0015133592719692385","0.000006053437087876944","-0.000010397817049972076","0.000015133592719689125","121722.93105","true","0.008160489631228174","2"
"curve_mild","curve_mild:maker-fill:38","2025-10-10T21:28:10.502Z","2025-10-10","crash-2025-10-10","2","3","true","1.25","288","-0.1","0.1","109495.89000000001","109495.89000000001","109550.63794500001","29","352","1.3502754253209417","112979.89410117","-0.019535582146444352","0.02035493226981333","-0.0576342871897112","0.00030449680227896626","0.00029588146815184656","0.0026524720024532038","0.0026471776471588843","0.000005294355294317771","-0.000008615334127119721","0.000013235888235791327","121722.93105","true","0.008160489631228174","2"
"curve_mild","curve_mild:maker-fill:39","2025-10-10T21:37:02.928Z","2025-10-10","crash-2025-10-10","3","3","true","1.25","288","-0.15","0.2","103412.785","103412.785","103464.4913925","66","418","1.4497124317491925","112979.89410117","-0.019535582146444352","0.02035493226981333","-0.0576342871897112","0.0042386536062990355","0.00421904629414766","0.00957806863652001","0.00956850013638363","0.00001275800018184485","-0.000019607312151375908","0.00003189500045461255","121722.93105","true","0.008160489631228174","2"
"curve_aggressive","curve_aggressive:maker-fill:0","2024-01-03T12:25:33.889Z","2024-01-03","crash-2024-01-03","1","2","false","1.25","114","-0.05","0.1","42743.255","42743.255","42764.626627499994","36","150","1.3503936785903414","42859.0044669","0.031248265381299767","0.02633425037185977","0.08891629664154088","0.006178756948657034","0.006086591549177932","0.004230131636030052","0.00420908620500502","0.000016836344820020027","-0.00009216539947910142","0.00004209086205004398","45015.39645","true","0.010086767836163801","4"
"curve_aggressive","curve_aggressive:maker-fill:1","2024-01-03T12:37:54.106Z","2024-01-03","crash-2024-01-03","2","2","true","1.25","114","-0.1","0.25","40493.61","40493.61","40513.856804999996","49","199","1.5004704391902512","42859.0044669","0.031248265381299767","0.02633425037185977","0.08891629664154088","0.008469131885636519","0.008269327740029605","0.012118816590658622","0.012094627335986628","0.000024189254671973216","-0.00019980414560691383","0.000060473136679912304","45015.39645","true","0.010086767836163801","4"
"curve_aggressive","curve_aggressive:maker-fill:2","2024-01-09T21:39:44.704Z","2024-01-09","crash-2024-01-09","1","1","false","1.1867636715031318","90","-0.05","0.1","44643.825","44643.825","44666.14691249999","41","131","1.2874252195408808","46125.69624676","0.011797592651367816","-0.07250504681552472","-0.06488210580604992","-0.004050479751902343","-0.004140324530579975","0.0046125536729998","0.004589605644775924","0.000018358422579103636","-0.00008984477867763175","0.00004589605644775257","47016.99675","false","0.004491926371312571","11"
"curve_aggressive","curve_aggressive:maker-fill:3","2024-01-12T16:28:23.472Z","2024-01-12","crash-2024-01-12","1","2","false","1.25","119","-0.05","0.1","44042.66499999999","44042.66499999999","44064.686332499994","38","157","1.3506023553722906","42781.35048099","0.0013283768532565965","-0.0065876107577582665","-0.02712454586807944","-0.002828333744647157","-0.002846847559665438","0.004333402002663616","0.0043118427887200265","0.00001724737115488011","-0.00001851381501828102","0.00004311842788720451","46383.88034999999","true","-0.00000709307200530418","21"
"curve_aggressive","curve_aggressive:maker-fill:4","2024-01-12T22:35:59.257Z","2024-01-12","crash-2024-01-12","2","2","true","1.25","119","-0.1","0.25","41724.63","41724.63","41745.492314999996","51","208","1.500084982892807","42781.35048099","0.0013283768532565965","-0.0065876107577582665","-0.02712454586807944","-0.00047359481123967855","-0.0007285340314019061","0.012241321677176162","0.012216887901373406","0.000024433775802746817","-0.0002549392201622275","0.00006108443950684906","46383.88034999999","true","-0.00000709307200530418","21"
"curve_aggressive","curve_aggressive:maker-fill:5","2024-01-22T19:36:56.327Z","2024-01-22","crash-2024-01-22","1","1","false","1","0","-0.05","0.1","39484.564999999995","39484.564999999995","39504.30728249999","40","40","1.1009649958263736","39519.35533313","0.008746998241649262","0.010382077533690026","0.09552576213724895","0.00005881008799931754","0.000048685428124610205","0.005088052767578621","0.005062739072217529","0.0000202509562888701","-0.000010124659874707334","0.00005062739072216635","41583.481349999995","false","-0.0003435400167721703","23"
"curve_aggressive","curve_aggressive:maker-fill:6","2024-03-05T16:35:58.334Z","2024-03-05","crash-2024-03-05","1","2","false","1.1432325585208734","109","-0.05","0.1","64945.03999999999","64945.03999999999","64977.51251999999","66","175","1.2438165843894669","63799.8108138","0.0362649497697185","0.07049405221899474","0.12034238257943652","-0.0018276164551962214","-0.0018444327906305613","0.005104073503859047","0.005078680103342332","0.000020314720413369255","-0.000016816335434339884","0.000050786801033417614","68397.3816","true","0.004292223722610844","12"
"curve_aggressive","curve_aggressive:maker-fill:7","2024-03-05T19:31:03.335Z","2024-03-05","crash-2024-03-05","2","2","true","1.1432325585208734","109","-0.1","0.25","61526.88","61526.88","61557.64343999999","89","264","1.393619332296449","63799.8108138","0.0362649497697185","0.07049405221899474","0.12034238257943652","0.00613700260690019","0.006063255939821065","0.014486909344884436","0.014457993358168105","0.000028915986716336205","-0.00007374666707912471","0.00007228996679084437","68397.3816","true","0.004292223722610844","12"
"curve_aggressive","curve_aggressive:maker-fill:8","2024-03-14T18:38:36.513Z","2024-03-14","crash-2024-03-14","1","3","false","1.0006997995219449","1","-0.05","0.1","69465.71","69465.71","69500.442855","76","77","1.1001975741936312","71367.84171405","-0.02642291754170767","-0.04224708644322672","-0.08236782622771577","0.0029920885939181724","0.0029568633400025835","0.005494929015010238","0.00546759105971167","0.00002187036423884669","-0.00003522525391558895","0.0000546759105971046","73158.3609","true","0.005386704724911651","9"
"curve_aggressive","curve_aggressive:maker-fill:9","2024-03-15T02:39:05.778Z","2024-03-15","crash-2024-03-14","2","3","false","0.9825731071395963","-14","-0.05","0.1","67847.95499999999","67847.95499999999","67881.87897749999","76","62","1.082317742617817","69482.09511731","-0.0608853006975042","-0.026972896368277377","-0.08155193985246334","0.002257565336310775","0.002201898345953783","0.005625949159813075","0.005597959362998099","0.000022391837451992403","-0.00005566699035699184","0.000055979593629981896","71454.60944999999","true","0.005386704724911651","9"
"curve_aggressive","curve_aggressive:maker-fill:10","2024-03-16T21:39:12.126Z","2024-03-16","crash-2024-03-14","3","3","false","0.974806828935161","-19","-0.05","0.1","66088.27","66088.27","66121.314135","74","55","1.0747349898120606","65251.656863","0.04752525256793039","-0.05131115242697404","-0.01903842798824651","-0.0009814053274917714","-0.0010242064344453089","0.005623753926620332","0.005595775051363492","0.0000223831002054539","-0.000042801106953537436","0.00005595775051361323","69601.3833","true","0.005386704724911651","9"
"curve_aggressive","curve_aggressive:maker-fill:11","2024-04-13T20:37:55.222Z","2024-04-13","crash-2024-04-12","1","2","false","0.830970821694722","-125","-0.1","0.25","60408","60408","60438.204","103","54","1.0802799780804602","64030.0399401","0.026720695588985377","-0.0031754295179295955","0.014849955902096923","0.004969513858365442","0.004994430474848203","0.017076285059695","0.01704220065837826","0.000034084401316756534","0.000024916616482760474","0.00008521100329190534","67153.56","true","0.025641240250723563","1"
