scenario,year,clusterId,startDate,endDate,crashDays,featureAsOfDate,featureObservationCount,filled,fillCount,outcomeClass,marginalEndingBtc,fullEndingBtc,withoutEndingBtc,clusterTopRank,v3TrendScore,bearLock,baselineTargetExposure,priceVsMA200,ma200Slope30,ema15,ema30,ema15VsEma30,drawdown365,ma200Deviation,rv30,volatilityCap,preCrash7dReturn,preCrash30dReturn,preCrash7dRealizedVol,consecutiveDown3,consecutiveDown5,consecutiveDown7,preCrash30dHighDrawdown,preCrash90dHighDrawdown,fundingLastRate,fundingMean7dAvailable,fundingMedian7dAvailable,fundingPositiveShare7d,fundingEvents7dAvailable,fundingExpectedSlots7d,fundingCoverageRatio7d,fundingStatus7d
"curve_mild","2024","crash-2024-06-11","2024-06-11","2024-06-11","[""2024-06-11""]","2024-06-10","1406","true","1","profitable","0.0006636829226285279","1.3999098900113864","1.399246207088758","22","3","false","1.25","0.2465376678655269","0.0945693937048242","69072.54737186848","68013.29980051199","0.015574124097247788","-0.04929560051758397","0.2465376678655269","0.46038054026759","1.303269681318976","0.010363756383496403","0.14303815076833604","0.266271351291971","false","false","false","-0.02673233142685494","-0.04929560051758397","0.0001","0.00011912999999999997","0.0001","1","21","21","1","complete"
"curve_aggressive","2024","crash-2024-06-11","2024-06-11","2024-06-11","[""2024-06-11""]","2024-06-10","1406","true","1","profitable","0.0021402088033799505","1.4522557251741064","1.4501155163707264","19","3","false","1.25","0.2465376678655269","0.0945693937048242","69072.54737186848","68013.29980051199","0.015574124097247788","-0.04929560051758397","0.2465376678655269","0.46038054026759","1.303269681318976","0.010363756383496403","0.14303815076833604","0.266271351291971","false","false","false","-0.02673233142685494","-0.04929560051758397","0.0001","0.00011912999999999997","0.0001","1","21","21","1","complete"
"curve_mild","2024","crash-2024-06-24","2024-06-24","2024-06-24","[""2024-06-24""]","2024-06-23","1419","true","1","profitable","0.00016385868484691812","1.3999098900113864","1.3997460313265395","30","2","false","1","0.09902532704220612","0.08410287393154992","65772.99836940797","66483.2794679383","-0.01068360502391974","-0.13606589411615688","0.09902532704220612","0.24990094214440103","2","-0.05198237834964381","-0.07847926454799947","0.1612529931101687","false","false","false","-0.11175979535259972","-0.11810556591457066","0.0001","0.00006554238095238097","0.0001","0.8571428571428571","21","21","1","complete"
"curve_aggressive","2024","crash-2024-06-24","2024-06-24","2024-06-24","[""2024-06-24""]","2024-06-23","1419","true","1","profitable","0.0005438018018359969","1.4522557251741064","1.4517119233722704","30","2","false","1","0.09902532704220612","0.08410287393154992","65772.99836940797","66483.2794679383","-0.01068360502391974","-0.13606589411615688","0.09902532704220612","0.24990094214440103","2","-0.05198237834964381","-0.07847926454799947","0.1612529931101687","false","false","false","-0.11175979535259972","-0.11810556591457066","0.0001","0.00006554238095238097","0.0001","0.8571428571428571","21","21","1","complete"
"curve_mild","2024","crash-2024-07-04","2024-07-04","2024-07-05","[""2024-07-04"",""2024-07-05""]","2024-07-03","1429","true","2","profitable","0.0027959999326869767","1.3999098900113864","1.3971138900786995","8","2","false","1","0.02982998163088446","0.06955673700073062","62557.75626577451","63999.93183927634","-0.022534017334949308","-0.17738881275808238","0.02982998163088446","0.3357716284676921","1.7869288204549179","-0.011003823515604028","-0.12576766275898144","0.4027121081880742","false","false","false","-0.1542453014359385","-0.16028754681136248","0.0001","0.00013628052631578942","0.0001","1","19","21","0.9047619047619048","partial"
"curve_aggressive","2024","crash-2024-07-04","2024-07-04","2024-07-05","[""2024-07-04"",""2024-07-05""]","2024-07-03","1429","true","2","profitable","0.006080505182096019","1.4522557251741064","1.4461752199920104","8","2","false","1","0.02982998163088446","0.06955673700073062","62557.75626577451","63999.93183927634","-0.022534017334949308","-0.17738881275808238","0.02982998163088446","0.3357716284676921","1.7869288204549179","-0.011003823515604028","-0.12576766275898144","0.4027121081880742","false","false","false","-0.1542453014359385","-0.16028754681136248","0.0001","0.00013628052631578942","0.0001","1","19","21","0.9047619047619048","partial"
"curve_mild","2024","crash-2024-08-02","2024-08-02","2024-08-05","[""2024-08-02"",""2024-08-04"",""2024-08-05""]","2024-08-01","1458","true","5","profitable","0.013049137723235349","1.3999098900113864","1.386860752288151","1","3","false","1.25","0.06670776477108165","0.04972524057310168","65639.76153778698","64653.60278833678","0.015252958952321594","-0.10693325378980745","0.06670776477108165","0.47393061444162476","1.2660081069185782","-0.007574274280354065","0.05263100290334033","0.37198956438934827","false","false","false","-0.04329886552985829","-0.08573791134509734","0.0001","0.00008779105263157897","0.0001","1","19","21","0.9047619047619048","partial"
"curve_aggressive","2024","crash-2024-08-02","2024-08-02","2024-08-05","[""2024-08-02"",""2024-08-04"",""2024-08-05""]","2024-08-01","1458","true","5","profitable","0.02050477198441425","1.4522557251741064","1.4317509531896921","2","3","false","1.25","0.06670776477108165","0.04972524057310168","65639.76153778698","64653.60278833678","0.015252958952321594","-0.10693325378980745","0.06670776477108165","0.47393061444162476","1.2660081069185782","-0.007574274280354065","0.05263100290334033","0.37198956438934827","false","false","false","-0.04329886552985829","-0.08573791134509734","0.0001","0.00008779105263157897","0.0001","1","19","21","0.9047619047619048","partial"
"curve_mild","2024","crash-2024-08-27","2024-08-27","2024-08-27","[""2024-08-27""]","2024-08-26","1483","true","1","losing","-0.00041051128087055133","1.3999098900113864","1.400320401292257","37","2","false","0.8670780452988767","-0.008908620070922524","0.045418517808154535","61456.83595446054","61344.71965223708","0.0018276438927269378","-0.14040191854677253","-0.008908620070922524","0.6919792321499543","0.8670780452988767","0.05664151197559231","-0.07436015916929228","0.5689960559114705","false","false","false","-0.07915229941715385","-0.11621781038103296","0.00006767","0.000035662380952380954","0.00004816","0.8095238095238095","21","21","1","complete"
"curve_aggressive","2024","crash-2024-08-27","2024-08-27","2024-08-27","[""2024-08-27""]","2024-08-26","1483","true","1","losing","-0.0007283603128347416","1.4522557251741064","1.4529840854869411","38","2","false","0.8670780452988767","-0.008908620070922524","0.045418517808154535","61456.83595446054","61344.71965223708","0.0018276438927269378","-0.14040191854677253","-0.008908620070922524","0.6919792321499543","0.8670780452988767","0.05664151197559231","-0.07436015916929228","0.5689960559114705","false","false","false","-0.07915229941715385","-0.11621781038103296","0.00006767","0.000035662380952380954","0.00004816","0.8095238095238095","21","21","1","complete"
"curve_mild","2024","crash-2024-09-06","2024-09-06","2024-09-06","[""2024-09-06""]","2024-09-05","1493","true","1","profitable","0.0007610482398763274","1.3999098900113864","1.39914884177151","20","1","false","0.75","-0.12003199921907293","0.03591474666857808","58960.672230968514","59830.79307037486","-0.014543027005891052","-0.23188982523090051","-0.12003199921907293","0.6315902536960566","0.9499829937032895","-0.05411183410370046","0.00177999196638301","0.4434533979007501","false","false","false","-0.12616094142828616","-0.19357799795107877","0.00002351","0.000021853157894736845","0.00003227","0.7368421052631579","19","21","0.9047619047619048","partial"
"curve_aggressive","2024","crash-2024-09-06","2024-09-06","2024-09-06","[""2024-09-06""]","2024-09-05","1493","true","1","profitable","0.0020931616249144636","1.4522557251741064","1.450162563549192","21","1","false","0.75","-0.12003199921907293","0.03591474666857808","58960.672230968514","59830.79307037486","-0.014543027005891052","-0.23188982523090051","-0.12003199921907293","0.6315902536960566","0.9499829937032895","-0.05411183410370046","0.00177999196638301","0.4434533979007501","false","false","false","-0.12616094142828616","-0.19357799795107877","0.00002351","0.000021853157894736845","0.00003227","0.7368421052631579","19","21","0.9047619047619048","partial"
"curve_mild","2024","crash-2024-10-01","2024-10-01","2024-10-01","[""2024-10-01""]","2024-09-30","1518","true","1","profitable","0.0006334724445640205","1.3999098900113864","1.3992764175668224","24","2","false","1","-0.006344545346782526","0.000615216455810641","63312.317655410654","61927.50590338592","0.0223618201931981","-0.13404302931736556","-0.006344545346782526","0.4276562798890073","1.4029958829453464","-0.00029688165624497387","0.07367757585511647","0.4196417670982007","false","false","false","-0.0388659460154086","-0.07234031524513118","0.0001","0.00007726105263157896","0.0001","1","19","21","0.9047619047619048","partial"
"curve_aggressive","2024","crash-2024-10-01","2024-10-01","2024-10-01","[""2024-10-01""]","2024-09-30","1518","true","1","profitable","0.0015530843189928145","1.4522557251741064","1.4507026408551136","23","2","false","1","-0.006344545346782526","0.000615216455810641","63312.317655410654","61927.50590338592","0.0223618201931981","-0.13404302931736556","-0.006344545346782526","0.4276562798890073","1.4029958829453464","-0.00029688165624497387","0.07367757585511647","0.4196417670982007","false","false","false","-0.0388659460154086","-0.07234031524513118","0.0001","0.00007726105263157896","0.0001","1","19","21","0.9047619047619048","partial"
"curve_mild","2024","crash-2024-11-25","2024-11-25","2024-11-25","[""2024-11-25""]","2024-11-24","1573","true","1","losing","-0.0003414657376374919","1.3999098900113864","1.400251355749024","33","3","false","1.0220042255169748","0.4872713384946865","0.041294700288456054","91201.2951635895","84370.55210489263","0.08096122270486794","-0.010110741570172554","0.4872713384946865","0.5870817214053039","1.0220042255169748","0.09062922066232071","0.4720369420617003","0.33988645067154","false","false","false","-0.010110741570172554","-0.010110741570172554","0.00018429","0.0001325238095238095","0.0001","1","21","21","1","complete"
"curve_aggressive","2024","crash-2024-11-25","2024-11-25","2024-11-25","[""2024-11-25""]","2024-11-24","1573","true","1","losing","-0.0005007784887793854","1.4522557251741064","1.4527565036628858","36","3","false","1.0220042255169748","0.4872713384946865","0.041294700288456054","91201.2951635895","84370.55210489263","0.08096122270486794","-0.010110741570172554","0.4872713384946865","0.5870817214053039","1.0220042255169748","0.09062922066232071","0.4720369420617003","0.33988645067154","false","false","false","-0.010110741570172554","-0.010110741570172554","0.00018429","0.0001325238095238095","0.0001","1","21","21","1","complete"
